Campaign Name,Placement Name,Media Property,Delivery Site,Monitored Ads,Eligible Impressions,Measurement Rate,Measured Impressions,Authentic Viewable Rate,Authentic Viewable Impressions,Viewable Rate,Viewable Impressions,Average Time (s) - Viewable Impressions,Total Viewable Time (s),100% Display Viewable Rate,100% Display Viewable Impressions,50% Display Viewable 1-5 Secs Rate,50% Display Viewable 5-15 Secs Rate,50% Display Viewable >15 Secs Rate,Authentic Custom Viewable Rate,Authentic Custom Viewable Impressions,Custom Viewable Rate,Custom Viewable Impressions
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_SMB_Kargo Venti Video_LiveRamp_x:|lxf5ok,Kargo,merriam-webster.com,"915,217","915,213",0.883567,"808,652",0.63016,"509,580",0.641655,"518,876",23.97459994,"12,439,844.52",0.427208,"347,449",0.092302,0.084821,0.460858,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Venti Video_LiveRamp_x:|qcwcly,Kargo,merriam-webster.com,"913,213","913,206",0.885071,"808,252",0.631247,"510,207",0.642562,"519,352",23.92753277,"12,426,812.00",0.428144,"348,002",0.092691,0.085691,0.460564,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Venti Video_LiveRamp_x:|qcwcly,Kargo,foxbusiness.com,"757,303","757,273",0.899973,"681,525",0.342218,"233,230",0.552759,"376,719",10.07861256,"3,796,804.85",0.149585,"102,089",0.229858,0.188297,0.133823,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_SMB_Kargo Venti Video_LiveRamp_x:|lxf5ok,Kargo,foxbusiness.com,"756,161","756,132",0.898385,"679,298",0.342358,"232,563",0.554006,"376,335",10.08421799,"3,795,044.18",0.151734,"103,211",0.229298,0.190097,0.133857,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Venti Video_LiveRamp_x:|qcwcly,Kargo,thestreet.com,"721,978","721,967",0.676872,"488,679",0.24151,"118,021",0.526976,"257,522",8.893804809,"2,290,350.40",0.208115,"102,310",0.241101,0.182354,0.09672,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_SMB_Kargo Venti Video_LiveRamp_x:|lxf5ok,Kargo,thestreet.com,"718,716","718,710",0.67248,"483,318",0.242122,"117,022",0.530226,"256,268",8.948884074,"2,293,312.62",0.216451,"105,207",0.239905,0.185835,0.097837,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Enahnced Pre-Roll with Brande_LiveRamp Mobile_x:|wr674b,Kargo,people.com,"389,552","389,430",0.996654,"388,127",0.622647,"241,666",0.971986,"377,254",15.1490083,"5,715,023.98",,0,,,,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Enahnced Pre-Roll with Brande_LiveRamp Mobile_x:|wr674b,Kargo,comicbook.com,"388,811","387,755",0.997862,"386,926",0.791828,"306,379",0.89115,"344,809",12.85295207,"4,431,813.55",,0,,,,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_SMB_Kargo Enahnced Pre-Roll with Brande_LiveRamp Mobile_x:|bj97n2,Kargo,comicbook.com,"370,653","369,676",0.997985,"368,931",0.791449,"291,990",0.891703,"328,977",12.88185146,"4,237,832.85",,0,,,,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_SMB_Kargo Enahnced Pre-Roll with Brande_LiveRamp Mobile_x:|bj97n2,Kargo,people.com,"369,859","369,747",0.996654,"368,510",0.621291,"228,952",0.971982,"358,185",15.1867064,"5,439,650.43",,0,,,,,,,
GCRU25US000_NU_DIG_US_H1'25 Wave 2_omg_q2-25_BURST2_AWR_PROG_TRADEDESK_custm_x_x_Kargo High Impact OLV_x_x:|5f5dms,GCRU25US000_DIG_BURST2_awa_TRADEDESK_KARGO_DIGVID_vrc_rch_1p_us-nat_x_en_1x1_x_dcm_nodco_cld_cpm_btdemo_cus_a18p-opnelt-x_GE_Kargo Venti Video_LiveRamp_x:|qcwcly,Kargo,people.com,"334,200","334,193",0.956471,"319,646",0.568457,"181,705",0.793665,"253,692",12.5870038,"3,193,222.17",0.393876,"126,007",0.315734,0.25729,0.219962,,,,
