Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
2/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"56,751",$965.72 ,$17.02 ,"662,747,600","819,701","819,846",0.12%,6.92%,$17.02 ,100.12%
2/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"155,874","$1,092.42 ",$7.01 ,"384,173,500","470,892","478,174",0.12%,33.10%,$7.01 ,100.14%
2/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"175,822","$1,108.04 ",$6.30 ,"1,057,575,200","764,777","791,135",0.07%,22.99%,$6.31 ,100.32%
2/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"692,518","$5,055.25 ",$7.30 ,"1,057,575,200","2,566,716","2,596,788",0.24%,26.98%,$7.35 ,100.82%
2/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"554,412","$4,046.77 ",$7.30 ,"1,021,947,000","2,129,742","2,133,541",0.21%,26.03%,$7.36 ,100.96%
2/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"87,189","$1,483.41 ",$17.01 ,"684,598,600","896,891","900,018",0.13%,9.72%,$17.02 ,100.12%
2/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"134,164",$939.33 ,$7.00 ,"391,243,100","378,758","380,356",0.10%,35.42%,$7.00 ,100.00%
2/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"141,080",$888.76 ,$6.30 ,"1,021,947,000","537,261","539,027",0.05%,26.26%,$6.31 ,100.32%
2/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"59,320","$1,009.66 ",$17.02 ,"678,200,400","686,310","686,463",0.10%,8.64%,$17.02 ,100.12%
2/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"141,373",$889.98 ,$6.30 ,"988,157,000","493,161","496,808",0.05%,28.67%,$6.30 ,100.16%
2/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"124,706",$873.38 ,$7.00 ,"369,242,800","355,514","356,689",0.10%,35.08%,$7.00 ,100.00%
2/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"554,218","$4,043.54 ",$7.30 ,"988,157,000","2,050,489","2,059,198",0.21%,27.03%,$7.34 ,100.69%
2/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"50,581",$860.68 ,$17.02 ,"666,822,200","1,433,499","1,440,550",0.22%,3.53%,$17.01 ,100.06%
